Time,price,volume
2014-12-08 00:00:00 UTC,354.15355609916,137529725.398144
2014-12-15 00:00:00 UTC,326.974324368385,179013804.313801
2014-12-22 00:00:00 UTC,324.779000196625,99987260.4900756
2014-12-29 00:00:00 UTC,308.260928746175,135776460.815122
2015-01-05 00:00:00 UTC,282.543003933807,151997739.415894
2015-01-12 00:00:00 UTC,220.769772709258,345224278.227276
2015-01-19 00:00:00 UTC,227.773931744593,167527186.134844
2015-01-26 00:00:00 UTC,246.682553897012,295994319.902429
2015-02-02 00:00:00 UTC,227.673356375835,168966039.60449
2015-02-09 00:00:00 UTC,230.817175184248,223862613.198624
2015-02-16 00:00:00 UTC,241.094394075323,155660231.26746
2015-02-23 00:00:00 UTC,244.246102389762,137236074.319886
2015-03-02 00:00:00 UTC,273.737246224343,226337883.802016
2015-03-09 00:00:00 UTC,290.77327312859,210484277.791547
2015-03-16 00:00:00 UTC,273.388609727934,190931209.30369
2015-03-23 00:00:00 UTC,254.240629728455,165745548.547213
2015-03-30 00:00:00 UTC,250.471454310001,121379043.918694
2015-04-06 00:00:00 UTC,247.060780534138,114736443.984121
2015-04-13 00:00:00 UTC,226.927524189915,131782863.614615
2015-04-20 00:00:00 UTC,230.596625694763,115664648.125434
2015-04-27 00:00:00 UTC,232.798018465567,123833416.382109
2015-05-04 00:00:00 UTC,240.254821272061,122491273.291626
2015-05-11 00:00:00 UTC,241.310177077887,89491565.0528913
2015-05-18 00:00:00 UTC,238.544660509616,75281004.5447898
2015-05-25 00:00:00 UTC,238.394044615918,65628116.4828102
2015-06-01 00:00:00 UTC,228.459071475426,89241672.548163
2015-06-08 00:00:00 UTC,232.327871765158,82170876.9153526
2015-06-15 00:00:00 UTC,246.143116053972,137277608.755875
2015-06-22 00:00:00 UTC,246.023087150299,82279898.6830482
2015-06-29 00:00:00 UTC,259.939250869448,155198656.913238
2015-07-06 00:00:00 UTC,279.803155797605,231543534.425486
2015-07-13 00:00:00 UTC,285.371398761986,172397462.187411
2015-07-20 00:00:00 UTC,281.839557877471,108151838.449486
